disease,month,cases,pop,days,inc_day,tmean,tmean1,anom0,anom1,pandemic
Salmonellosis,2013-11-01,123,8176573,30,0.0501432568387759,5.02857142857143,12.0428571428571,-1.13846153846154,0.464835164835165,FALSE
Campylobacteriosis,2013-12-01,782,8176573,31,0.308513193138652,2.08571428571429,5.02857142857143,-1.11868131868132,-1.13846153846154,FALSE
Salmonellosis,2013-12-01,63,8176573,31,0.0248546434370014,2.08571428571429,5.02857142857143,-1.11868131868132,-1.13846153846154,FALSE
Campylobacteriosis,2014-01-01,779,8274608,31,0.303688492047775,3.45714285714286,2.08571428571429,1.21836734693878,-1.11868131868132,FALSE
Salmonellosis,2014-01-01,96,8274608,31,0.0374250259776462,3.45714285714286,2.08571428571429,1.21836734693878,-1.11868131868132,FALSE
Campylobacteriosis,2014-02-01,400,8274608,28,0.17264520912307,4.44285714285714,3.45714285714286,0.56734693877551,1.21836734693878,FALSE
Salmonellosis,2014-02-01,48,8274608,28,0.0207174250947684,4.44285714285714,3.45714285714286,0.56734693877551,1.21836734693878,FALSE
Campylobacteriosis,2014-03-01,420,8274608,31,0.163734488652202,7.68571428571429,4.44285714285714,0.921428571428572,0.56734693877551,FALSE
Salmonellosis,2014-03-01,70,8274608,31,0.0272890814420337,7.68571428571429,4.44285714285714,0.921428571428572,0.56734693877551,FALSE
Campylobacteriosis,2014-04-01,457,8274608,30,0.184097341328234,11.3571428571429,7.68571428571429,0.803061224489797,0.921428571428572,FALSE
Salmonellosis,2014-04-01,80,8274608,30,0.0322271057029731,11.3571428571429,7.68571428571429,0.803061224489797,0.921428571428572,FALSE
Campylobacteriosis,2014-05-01,521,8274608,31,0.203108734732851,13.2285714285714,11.3571428571429,-0.736734693877549,0.803061224489797,FALSE
Salmonellosis,2014-05-01,91,8274608,31,0.0354758058746438,13.2285714285714,11.3571428571429,-0.736734693877549,0.803061224489797,FALSE
Campylobacteriosis,2014-06-01,722,8274608,30,0.290849628969332,18.3714285714286,13.2285714285714,-0.78979591836735,-0.736734693877549,FALSE
Salmonellosis,2014-06-01,85,8274608,30,0.0342412998094089,18.3714285714286,13.2285714285714,-0.78979591836735,-0.736734693877549,FALSE
Campylobacteriosis,2014-07-01,848,8274608,31,0.330587729469208,18.2428571428571,18.3714285714286,-2.61428571428571,-0.78979591836735,FALSE
Salmonellosis,2014-07-01,125,8274608,31,0.0487305025750601,18.2428571428571,18.3714285714286,-2.61428571428571,-0.78979591836735,FALSE
Campylobacteriosis,2014-08-01,957,8274608,31,0.37308072771466,17.1285714285714,18.2428571428571,-3.06836734693878,-2.61428571428571,FALSE
Salmonellosis,2014-08-01,211,8274608,31,0.0822570883467015,17.1285714285714,18.2428571428571,-3.06836734693878,-2.61428571428571,FALSE
Campylobacteriosis,2014-09-01,668,8274608,30,0.269096332619825,15.8428571428571,17.1285714285714,-0.0274725274725292,-3.06836734693878,FALSE
Salmonellosis,2014-09-01,133,8274608,30,0.0535775632311927,15.8428571428571,17.1285714285714,-0.0274725274725292,-3.06836734693878,FALSE
Campylobacteriosis,2014-10-01,620,8274608,31,0.241703292772298,13.0571428571429,15.8428571428571,1.47912087912088,-0.0274725274725292,FALSE
Salmonellosis,2014-10-01,141,8274608,31,0.0549680069046678,13.0571428571429,15.8428571428571,1.47912087912088,-0.0274725274725292,FALSE
Campylobacteriosis,2014-11-01,566,8274608,30,0.228006772848535,7.44285714285714,13.0571428571429,1.27582417582418,1.47912087912088,FALSE
Salmonellosis,2014-11-01,96,8274608,30,0.0386725268435677,7.44285714285714,13.0571428571429,1.27582417582418,1.47912087912088,FALSE
Campylobacteriosis,2014-12-01,588,8274608,31,0.229228284113083,3.7,7.44285714285714,0.495604395604396,1.27582417582418,FALSE
Salmonellosis,2014-12-01,64,8274608,31,0.0249500173184308,3.7,7.44285714285714,0.495604395604396,1.27582417582418,FALSE
Campylobacteriosis,2015-01-01,619,8362816,31,0.238768160575144,2.45714285714286,3.7,0.218367346938776,0.495604395604396,FALSE
Salmonellosis,2015-01-01,71,8362816,31,0.0273869780304285,2.45714285714286,3.7,0.218367346938776,0.495604395604396,FALSE
Campylobacteriosis,2015-02-01,254,8362816,28,0.108473372742251,0.828571428571429,2.45714285714286,-3.0469387755102,0.218367346938776,FALSE
Salmonellosis,2015-02-01,46,8362816,28,0.0196447840399351,0.828571428571429,2.45714285714286,-3.0469387755102,0.218367346938776,FALSE
Campylobacteriosis,2015-03-01,277,8362816,31,0.106847787527165,6.88571428571429,0.828571428571429,0.121428571428572,-3.0469387755102,FALSE
Salmonellosis,2015-03-01,65,8362816,31,0.0250725855208148,6.88571428571429,0.828571428571429,0.121428571428572,-3.0469387755102,FALSE
Campylobacteriosis,2015-04-01,363,8362816,30,0.144688105059348,10.6142857142857,6.88571428571429,0.0602040816326532,0.121428571428572,FALSE
Salmonellosis,2015-04-01,85,8362816,30,0.0338801347935113,10.6142857142857,6.88571428571429,0.0602040816326532,0.121428571428572,FALSE
Campylobacteriosis,2015-05-01,535,8362816,31,0.206366665440553,14.5571428571429,10.6142857142857,0.591836734693878,0.0602040816326532,FALSE
Salmonellosis,2015-05-01,80,8362816,31,0.030858566794849,14.5571428571429,10.6142857142857,0.591836734693878,0.0602040816326532,FALSE
Campylobacteriosis,2015-06-01,654,8362816,30,0.260677742999487,18.6857142857143,14.5571428571429,-0.475510204081637,0.591836734693878,FALSE
Salmonellosis,2015-06-01,85,8362816,30,0.0338801347935113,18.6857142857143,14.5571428571429,-0.475510204081637,0.591836734693878,FALSE
Campylobacteriosis,2015-07-01,783,8362816,31,0.302028222504585,22.9428571428571,18.6857142857143,2.08571428571429,-0.475510204081637,FALSE
Salmonellosis,2015-07-01,147,8362816,31,0.0567026164855351,22.9428571428571,18.6857142857143,2.08571428571429,-0.475510204081637,FALSE
Campylobacteriosis,2015-08-01,856,8362816,31,0.330186664704885,20.5142857142857,22.9428571428571,0.317346938775508,2.08571428571429,FALSE
Salmonellosis,2015-08-01,241,8362816,31,0.0929614324694827,20.5142857142857,22.9428571428571,0.317346938775508,2.08571428571429,FALSE
Campylobacteriosis,2015-09-01,701,8362816,30,0.279411464591194,13.9428571428571,20.5142857142857,-1.92747252747253,0.317346938775508,FALSE
Salmonellosis,2015-09-01,168,8362816,30,0.0669630899448224,13.9428571428571,20.5142857142857,-1.92747252747253,0.317346938775508,FALSE
Campylobacteriosis,2015-10-01,568,8362816,31,0.219095824243428,9.72857142857143,13.9428571428571,-1.84945054945055,-1.92747252747253,FALSE
Salmonellosis,2015-10-01,190,8362816,31,0.0732890961377665,9.72857142857143,13.9428571428571,-1.84945054945055,-1.92747252747253,FALSE
Campylobacteriosis,2015-11-01,485,8362816,30,0.193316063233565,7.75714285714286,9.72857142857143,1.59010989010989,-1.84945054945055,FALSE
Salmonellosis,2015-11-01,121,8362816,30,0.0482293683531161,7.75714285714286,9.72857142857143,1.59010989010989,-1.84945054945055,FALSE
Campylobacteriosis,2015-12-01,775,8362816,31,0.2989423658251,4.57142857142857,7.75714285714286,1.36703296703297,1.59010989010989,FALSE
Salmonellosis,2015-12-01,56,8362816,31,0.0216009967563943,4.57142857142857,7.75714285714286,1.36703296703297,1.59010989010989,FALSE
Campylobacteriosis,2016-01-01,817,8457360,31,0.311620159360337,3.21428571428571,4.57142857142857,0.975510204081633,1.36703296703297,FALSE
Salmonellosis,2016-01-01,87,8457360,31,0.0331835420616271,3.21428571428571,4.57142857142857,0.975510204081633,1.36703296703297,FALSE
Campylobacteriosis,2016-02-01,433,8457360,29,0.176544861313207,4.5,3.21428571428571,0.624489795918367,0.975510204081633,FALSE
Salmonellosis,2016-02-01,72,8457360,29,0.0293561894100482,4.5,3.21428571428571,0.624489795918367,0.975510204081633,FALSE
Campylobacteriosis,2016-03-01,424,8457360,31,0.16172209004747,5.34285714285714,4.5,-1.42142857142857,0.624489795918367,FALSE
Salmonellosis,2016-03-01,84,8457360,31,0.0320392819905365,5.34285714285714,4.5,-1.42142857142857,0.624489795918367,FALSE
Campylobacteriosis,2016-04-01,464,8457360,30,0.182878187361856,9.67142857142857,5.34285714285714,-0.88265306122449,-1.42142857142857,FALSE
Salmonellosis,2016-04-01,98,8457360,30,0.0386251343997024,9.67142857142857,5.34285714285714,-0.88265306122449,-1.42142857142857,FALSE
Campylobacteriosis,2016-05-01,619,8457360,31,0.236098994668358,13.2428571428571,9.67142857142857,-0.722448979591835,-0.88265306122449,FALSE
Salmonellosis,2016-05-01,104,8457360,31,0.0396676824644738,13.2428571428571,9.67142857142857,-0.722448979591835,-0.88265306122449,FALSE
Campylobacteriosis,2016-06-01,703,8457360,30,0.277076219214191,17.1571428571429,13.2428571428571,-2.00408163265306,-0.722448979591835,FALSE
Salmonellosis,2016-06-01,78,8457360,30,0.0307424539099672,17.1571428571429,13.2428571428571,-2.00408163265306,-0.722448979591835,FALSE
Campylobacteriosis,2016-07-01,863,8457360,31,0.329165480450393,20.2142857142857,17.1571428571429,-0.642857142857142,-2.00408163265306,FALSE
Salmonellosis,2016-07-01,126,8457360,31,0.0480589229858048,20.2142857142857,17.1571428571429,-0.642857142857142,-2.00408163265306,FALSE
Campylobacteriosis,2016-08-01,1086,8457360,31,0.414222145734794,19.6,20.2142857142857,-0.596938775510203,-0.642857142857142,FALSE
Salmonellosis,2016-08-01,282,8457360,31,0.107560446682515,19.6,20.2142857142857,-0.596938775510203,-0.642857142857142,FALSE
Campylobacteriosis,2016-09-01,841,8457360,30,0.331466714593364,17.3714285714286,19.6,1.5010989010989,-0.596938775510203,FALSE
Salmonellosis,2016-09-01,197,8457360,30,0.0776444028238915,17.3714285714286,19.6,1.5010989010989,-0.596938775510203,FALSE
Campylobacteriosis,2016-10-01,655,8457360,31,0.249830115521445,9.22857142857143,17.3714285714286,-2.34945054945055,1.5010989010989,FALSE
Salmonellosis,2016-10-01,161,8457360,31,0.061408623815195,9.22857142857143,17.3714285714286,-2.34945054945055,1.5010989010989,FALSE
Campylobacteriosis,2016-11-01,620,8457360,30,0.24436309518179,5.67142857142857,9.22857142857143,-0.495604395604396,-2.34945054945055,FALSE
Salmonellosis,2016-11-01,121,8457360,30,0.0476902169628978,5.67142857142857,9.22857142857143,-0.495604395604396,-2.34945054945055,FALSE
Campylobacteriosis,2016-12-01,550,8457360,31,0.209781013033275,1.42857142857143,5.67142857142857,-1.77582417582418,-0.495604395604396,FALSE
Salmonellosis,2016-12-01,110,8457360,31,0.041956202606655,1.42857142857143,5.67142857142857,-1.77582417582418,-0.495604395604396,FALSE
Campylobacteriosis,2017-01-01,537,8522244,31,0.203263138736245,-1.85714285714286,1.42857142857143,-4.09591836734694,-1.77582417582418,FALSE
Salmonellosis,2017-01-01,81,8522244,31,0.0306598030496012,-1.85714285714286,1.42857142857143,-4.09591836734694,-1.77582417582418,FALSE
Campylobacteriosis,2017-02-01,317,8522244,28,0.132845628116592,4.4,-1.85714285714286,0.524489795918368,-4.09591836734694,FALSE
Salmonellosis,2017-02-01,58,8522244,28,0.0243061401601335,4.4,-1.85714285714286,0.524489795918368,-4.09591836734694,FALSE
Campylobacteriosis,2017-03-01,446,8522244,31,0.168818174816322,8.81428571428572,4.4,2.05,0.524489795918368,FALSE
Salmonellosis,2017-03-01,72,8522244,31,0.0272531582663121,8.81428571428572,4.4,2.05,0.524489795918368,FALSE
Campylobacteriosis,2017-04-01,391,8522244,30,0.152933116363875,9.61428571428571,8.81428571428572,-0.939795918367347,2.05,FALSE
Salmonellosis,2017-04-01,86,8522244,30,0.0336374629342538,9.61428571428571,8.81428571428572,-0.939795918367347,2.05,FALSE
Campylobacteriosis,2017-05-01,552,8522244,31,0.208940880041726,15.0285714285714,9.61428571428571,1.06326530612245,-0.939795918367347,FALSE
Salmonellosis,2017-05-01,97,8522244,31,0.036716060442115,15.0285714285714,9.61428571428571,1.06326530612245,-0.939795918367347,FALSE
Campylobacteriosis,2017-06-01,725,8522244,30,0.283571635201558,20.2714285714286,15.0285714285714,1.11020408163265,1.06326530612245,FALSE
Salmonellosis,2017-06-01,124,8522244,30,0.0485005279517148,20.2714285714286,15.0285714285714,1.11020408163265,1.06326530612245,FALSE
Campylobacteriosis,2017-07-01,854,8522244,31,0.323252738325425,20.2285714285714,20.2714285714286,-0.62857142857143,1.11020408163265,FALSE
