parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
ths200y0;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel";"Température de l'air à 2 m du sol; moyenne annuelle homogène";"Temperatura dell'aria a 2 m dal suolo; media annuale omogenea";"Air temperature 2 m above ground; homogeneous annual mean";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
ths20nm0;"Tropennächte; Monatssumme, homogen";"Nuits tropicales; somme mensuelle, homogène";"Notti tropicali; somma mensile, omogeneo";"Tropical nights; monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;0;Integer;No
ths20ny0;"Tropennächte; Jahressumme, homogen";"Nuits tropicales; somme annuelle, homogène";"Notti tropicali; somma annuale, omogeneo";"Tropical nights; annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;0;Integer;No
ths25xm0;"Sommertage (Maximum 25 Grad C oder höher); Monatssumme, homogen";"Nombre de jours d'été (température >= 25 degrés C); somme mensuelle, homogène";"Giorni estivi (massima => 25 gradi C); somma mensile, omogeneo";"Summer days (maximum 25 degrees C or higher); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;0;Integer;No
ths25xy0;"Sommertage (Maximum 25 Grad C oder höher); Jahressumme, homogen";"Nombre de jours d'été (température >= 25 degrés C); somme annuelle, homogène";"Giorni estivi (massima => 25 gradi C); somma annuale, omogeneo";"Summer days (maximum 25 degrees C or higher); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;0;Integer;No
ths2dymn;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel der Tagesminima";"Température de l'air à 2 m du sol; moyenne mensuelle homogène des minima journaliers";"Temperatura dell'aria a 2 m dal suolo; media mensile omogenea delle minime giornaliere";"Air temperature 2 m above ground; homogeneous monthly mean of the daily minima";Temperatur;Température;Temperatura;Temperature;M;1;Float;°C
ths2dymx;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel der Tagesmaxima";"Température de l'air à 2 m du sol; moyenne mensuelle homogène des maxima journaliers";"Temperatura dell'aria a 2 m dal suolo; media mensile omogenea delle massime giornaliere";"Air temperature 2 m above ground; homogeneous monthly mean of the daily maximum";Temperatur;Température;Temperatura;Temperature;M;1;Float;°C
ths2dyyn;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel der Tagesminima";"Température de l'air à 2 m du sol; moyenne annuelle homogène des minima journaliers";"Temperatura dell'aria a 2 m dal suolo; media annuale omogenea delle minime giornaliere";"Air temperature 2 m above ground; homogeneous yearly mean of the daily minima";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
ths2dyyx;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel der Tagesmaxima";"Température de l'air à 2 m du sol; moyenne annuelle homogène des maxima journaliers";"Temperatura dell'aria a 2 m dal suolo; media annuale omogenea delle massime giornaliere";"Air temperature 2 m above ground; homogeneous yearly mean of the daily maxima";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
ths30xm0;"Hitzetage (Maximum 30 Grad C oder höher); Monatssumme, homogen";"Jours de chaleur (température maximale >= 30 degrés C); somme mensuelle, homogène";"Giorni tropicali (massima => 30 gradi C); somma mensile, omogeneo";"Heat days (maximum 30 degrees C or higher); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;0;Integer;No
ths30xy0;"Hitzetage (Maximum 30 Grad C oder höher); Jahressumme, homogen";"Jours de chaleur (température maximale >= 30 degrés C); somme annuelle, homogène";"Giorni tropicali (massima => 30 gradi C); somma annuale, omogeneo";"Heat days (maximum 30 degrees C or higher); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;0;Integer;No
ths35xm0;"Sehr heisse Tage; monatliche Anzahl der Tage mit einer täglichen Maximumtemperatur >= 35 Grad C, homogen";"Jours de très forte chaleur ; nombre de jours du mois avec une température maximale journalière >= 35 degrés C, homogène";"Giorni molto caldi; numero di giorni al mese con temperatura massima giornaliera >= 35 gradi C, omogeneo";"Very hot days; number of days in a month with daily maximum temperature >= 35 degree C, homogeneous";Temperatur;Température;Temperatura;Temperature;M;0;Integer;No
ths35xy0;"Sehr heisse Tage; jährliche Anzahl der Tage mit einer täglichen Maximumtemperatur >= 35 Grad C, homogen";"Jours de très forte chaleur ; nombre de jours de l'année avec une température maximale journalière >= 35 degrés C, homogène";"Giorni molto caldi; numero di giorni all'anno con temperatura massima giornaliera >= 35 gradi C, omogeneo";"Very hot days; number of days in a year with daily maximum temperature >= 35 degree C, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;0;Integer;No
xhs000m0;"Heizgradzahl 12/20 (SIA: Heizgradtage); Monatssumme, homogen";"Degrés jours (HGT12/20); somme mensuelle, homogène";"Gradi riscaldamento (12/20); somma mensile, omogeneo";"Heating degrees (HGT12/20); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;1;Float;°C
xhs000y0;"Heizgradzahl 12/20 (SIA: Heizgradtage); Jahressumme, homogen";"Degrés jours (HGT12/20); somme annuelle, homogène";"Gradi riscaldamento (12/20); somma annuale, omogeneo";"Heating degrees (HGT12/20); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
xhs00om0;"Kühlgradzahl (CDD nach USA); Monatssumme, homogen";"Jours de refroidissment (CDD); somme mensuelle, homogène";"Giorni di raffredamento (CDD); totale mensile, omogeneo";"Cooling Degree Day (CDD); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;1;Float;°C
xhs00oy0;"Kühlgradzahl (CDD nach USA); Jahressumme, homogen";"Jours de refroidissment (CDD); somme annuelle, homogène";"Giorni di raffredamento (CDD); somma annuale, omogeneo";"Cooling Degree Day (CDD); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
xhs012m0;"Heizgradtage ATD12; Monatssumme, homogen";"Degrés jours (ATD12/20); somme mensuelle, homogène";"Gradi riscaldamento (ATD12/12); somma mensile, omogeneo";"Heating degrees (ATD12/12); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;1;Float;°C
xhs012y0;"Heizgradtage ATD12; Jahressumme, homogen";"Degrés jours (ATD12/20); somme annuelle, homogène";"Gradi riscaldamento (ATD12/12); somma annuale, omogeneo";"Heating degrees (ATD12/12); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
