valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2019-M04,month,CHFL,CHFL,all,agegroup_food,all,457,8644780,5.29,1773,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M05,month,CHFL,CHFL,all,agegroup_food,all,546,8644780,6.32,2319,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M06,month,CHFL,CHFL,all,agegroup_food,all,625,8644780,7.23,2944,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M07,month,CHFL,CHFL,all,agegroup_food,all,831,8644780,9.61,3775,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M08,month,CHFL,CHFL,all,agegroup_food,all,983,8644780,11.37,4758,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M09,month,CHFL,CHFL,all,agegroup_food,all,702,8644780,8.12,5460,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M10,month,CHFL,CHFL,all,agegroup_food,all,671,8644780,7.76,6131,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M11,month,CHFL,CHFL,all,agegroup_food,all,579,8644780,6.7,6710,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M12,month,CHFL,CHFL,all,agegroup_food,all,543,8644780,6.28,7253,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M01,month,CHFL,CHFL,all,agegroup_food,all,590,8709355,6.77,590,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M02,month,CHFL,CHFL,all,agegroup_food,all,274,8709355,3.15,864,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M03,month,CHFL,CHFL,all,agegroup_food,all,226,8709355,2.59,1090,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M04,month,CHFL,CHFL,all,agegroup_food,all,160,8709355,1.84,1250,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M05,month,CHFL,CHFL,all,agegroup_food,all,335,8709355,3.85,1585,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M06,month,CHFL,CHFL,all,agegroup_food,all,647,8709355,7.43,2232,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M07,month,CHFL,CHFL,all,agegroup_food,all,871,8709355,10,3103,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M08,month,CHFL,CHFL,all,agegroup_food,all,934,8709355,10.72,4037,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M09,month,CHFL,CHFL,all,agegroup_food,all,704,8709355,8.08,4741,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M10,month,CHFL,CHFL,all,agegroup_food,all,473,8709355,5.43,5214,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M11,month,CHFL,CHFL,all,agegroup_food,all,371,8709355,4.26,5585,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M12,month,CHFL,CHFL,all,agegroup_food,all,457,8709355,5.25,6042,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M01,month,CHFL,CHFL,all,agegroup_food,all,539,8778099,6.14,539,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M02,month,CHFL,CHFL,all,agegroup_food,all,331,8778099,3.77,870,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M03,month,CHFL,CHFL,all,agegroup_food,all,307,8778099,3.5,1177,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M04,month,CHFL,CHFL,all,agegroup_food,all,252,8778099,2.87,1429,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M05,month,CHFL,CHFL,all,agegroup_food,all,485,8778099,5.53,1914,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M06,month,CHFL,CHFL,all,agegroup_food,all,642,8778099,7.31,2556,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M07,month,CHFL,CHFL,all,agegroup_food,all,904,8778099,10.3,3460,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M08,month,CHFL,CHFL,all,agegroup_food,all,953,8778099,10.86,4413,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M09,month,CHFL,CHFL,all,agegroup_food,all,700,8778099,7.97,5113,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M10,month,CHFL,CHFL,all,agegroup_food,all,563,8778099,6.41,5676,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M11,month,CHFL,CHFL,all,agegroup_food,all,460,8778099,5.24,6136,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M12,month,CHFL,CHFL,all,agegroup_food,all,666,8778099,7.59,6802,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M01,month,CHFL,CHFL,all,agegroup_food,all,680,8855062,7.68,680,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M02,month,CHFL,CHFL,all,agegroup_food,all,344,8855062,3.88,1024,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M03,month,CHFL,CHFL,all,agegroup_food,all,435,8855062,4.91,1459,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M04,month,CHFL,CHFL,all,agegroup_food,all,405,8855062,4.57,1864,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M05,month,CHFL,CHFL,all,agegroup_food,all,519,8855062,5.86,2383,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M06,month,CHFL,CHFL,all,agegroup_food,all,816,8855062,9.22,3199,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M07,month,CHFL,CHFL,all,agegroup_food,all,1021,8855062,11.53,4220,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M08,month,CHFL,CHFL,all,agegroup_food,all,1039,8855062,11.73,5259,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M09,month,CHFL,CHFL,all,agegroup_food,all,663,8855062,7.49,5922,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M10,month,CHFL,CHFL,all,agegroup_food,all,606,8855062,6.84,6528,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M11,month,CHFL,CHFL,all,agegroup_food,all,595,8855062,6.72,7123,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M12,month,CHFL,CHFL,all,agegroup_food,all,522,8855062,5.89,7645,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M01,month,CHFL,CHFL,all,agegroup_food,all,575,9002273,6.39,575,NA,stagnant,NA,NA,NA,NA,NA,TRUE
